CANONICAL_SMILES,MOLREGNO
Nc1nc(SCC(=O)O)nc(O)c1N,1121107
COc1ccc(cc1)C2=COc3cc(OC)cc(O)c3C2=O,464962
COc1ccc(cc1)C2=Nc3cnc(nc3N(Cc4cccc(OC)c4)C2=O)N5CCOCC5,757096
Nc1ccccc1Sc2ccccc2C#N,1121105
CCS(=O)(=O)c1ccc(O)c(NC(=O)Nc2ccccc2)c1,1121264
OC(=O)Cc1c(O)ccc2ccccc12,914259
COc1ccc(CNc2nc(nc3ccccc23)c4cccc(c4)C#N)c(OC)c1,840360
Cc1cnc(CNc2ccnc(n2)c3ccccc3C(F)(F)F)cn1,825875
CC(C)NC[C@H](O)COc1cccc2ccccc12,454176
CC(=CCC\C(=C\CO\N=C/1\C[C@@H](O)[C@@H](O)[C@H]2[C@@H]1CC[C@H]3[C@H]2C(=O)N(C3=O)C(C)(C)C)\C)C,904517
Clc1ccc(cc1)C(=O)SCc2cccc3ccccc23,913435
ClCC(=N)N[C@H]1CN2CCC1CC2,819433
CC(=O)OC[C@@H]1O[C@H](CCO\N=C(/C)\CCC(=O)OC[C@@H]2O[C@@H](C=C[C@@H]2Oc3ccc(C)cc3)C#Cc4ccccc4)C=C[C@@H]1OC(=O)C,780969
O=C1N(Cc2cccs2)c3nc(ncc3N=C1c4cccs4)N5CCOCC5,1030253
Cc1cc(ccc1Cl)C(=O)CSC(=S)SC(C)(C)C,752910
COCCN1C(=O)C(=Nc2cnc(Nc3cccc(OC)c3)nc12)c4cc(F)cc(F)c4,974893
CC(=O)O[C@H]1C[C@H]2CC[C@H]3[C@H](CC[C@]4(C)[C@@H]3C[C@H]([C@H]4OC(=O)C)[N+]5(C)CCCCC5)[C@@]2(C)C[C@@H]1[N+]6(C)CCCCC6,974770
CN(Cc1occc1)c2ncnc3ccc(cc23)c4ccccc4C#N,751239
O=C(C1CCN(CC1)S(=O)(=O)c2cccc3nsnc23)N4CCCc5ccccc45,837288
Nc1c(Br)cc(Br)cc1CNC2CCC(O)CC2,901659
CC(=O)N1N=C(OC1c2ccccc2Cl)c3cccc(c3)[N+](=O)[O-],784211
Cc1ccc(C)c(NC(=O)Cn2nnc(C(=O)NCc3cccs3)c2N)c1,903610
CC(=O)N1C2C3N(C1C4N(C(C(N4C(=O)C)N2C(=O)C)N3C(=O)C)C(=O)C)C(=O)C,866957
NCCCC(=O)O,10909
OC(=O)c1nn(nc1c2nn(nc2C(=O)O)c3ccccc3)c4ccccc4,723904
CN(Cc1occc1)c2ncncc2c3cocc3,858732
CC1(C)S[C@@H]2[C@H](NC(=O)C3(N)CCCCC3)C(=O)N2[C@@H]1C(=O)O,794196
CCOC(=O)CSc1nnc(Cc2cc(O)nc(O)n2)n1c3cccc(OC)c3,745338
COc1ccccc1OP(=O)(C)Nc2c(C)cccc2C,1121017
